cluster_id,manufacturer_candidate,member_external_ids,decision,reason_code,evidence,retry_condition
tekcell:6ES79711AA000AA0,Tekcell,КА-00005063,hold,third_party_pack_identity,"Raw item is a Siemens 6ES7971-1AA00-0AA0 backup battery pack while the Tekcell source only provides a brand candidate; no manufacturer-primary Tekcell/Vitzrocell source establishes the complete Siemens pack.","Exact manufacturer pack BOM or Siemens primary documentation that identifies the installed cell manufacturer and pack configuration."
tekcell:SBAA02AX,Tekcell,КА-00002555,hold,terminal_variant_unverified,"Vitzrocell confirms SB-AA02 model-core facts and lists AX as an available terminal family, but does not identify the exact AX execution in this record.","Exact Vitzrocell/TEKCELL document for SB-AA02AX terminal and lead configuration."
tekcell:SBAA11AX,Tekcell,КА-00002558,hold,terminal_variant_unverified,"Vitzrocell confirms SB-AA11 model-core facts and lists AX as an available terminal family, but does not identify the exact AX execution in this record.","Exact Vitzrocell/TEKCELL document for SB-AA11AX terminal and lead configuration."
tekcell:SBAA11P,Tekcell,КА-00002553,hold,terminal_variant_unverified,"The suffix P is an execution signal; the manufacturer page establishes only the SB-AA11 model core.","Exact Vitzrocell/TEKCELL document for SB-AA11P execution."
tekcell:SBAA11TC,Tekcell,КА-00002548,hold,terminal_variant_unverified,"The TC suffix is an execution signal; the manufacturer page establishes only the SB-AA11 model core.","Exact Vitzrocell/TEKCELL document for SB-AA11TC execution."
tekcell:SBC02,Tekcell,КА-00003436|КА-00005269,hold,lead_variant_unverified,"Both records explicitly say 'with leads'; the manufacturer-primary SB-C02 page establishes base-cell facts but not the lead/connector configuration of either member.","Exact Vitzrocell/TEKCELL lead/connector drawing for each SB-C02 record."
tekcell:SBD02,Tekcell,КА-00004156,hold,lead_variant_unverified,"Raw name explicitly says 'with leads'; the manufacturer-primary SB-D02 page establishes base-cell facts but not the lead/connector configuration.","Exact Vitzrocell/TEKCELL lead/connector drawing for this SB-D02 record."
tekcell:SBD02AX,Tekcell,КА-00003217,hold,terminal_variant_unverified,"AX is a terminal execution signal; no exact manufacturer-primary document for SB-D02AX is recorded.","Exact Vitzrocell/TEKCELL document for SB-D02AX terminal and lead configuration."
tekcell:SWC01,Tekcell,КА-00002562,hold,manufacturer_model_unverified,"No current manufacturer-primary Vitzrocell/TEKCELL page for exact SW-C01 was located; reseller material is not sufficient under this wave's source rule.","Exact Vitzrocell/TEKCELL SW-C01 primary datasheet."
tekcell:АА1SКИТАЙ,Tekcell,КА-00003700,hold,pack_configuration_unverified,"Raw name describes SB-AA11-2P pack; a base-cell source cannot prove the two-cell wiring, connector, polarity or capacity of the pack.","Exact Vitzrocell/TEKCELL pack drawing or BOM for SB-AA11-2P."
saft:ABB3HAC168311,Saft,КА-00004271,hold,pack_configuration_unverified,"ABB 3HAC16831-1 is a 10.8V pack designation, not a standalone Saft cell model; no primary pack BOM is recorded.","ABB or Saft primary pack documentation identifying chemistry, cells, wiring and connector."
saft:ER6V,Saft,КА-00005884,hold,connector_variant_unverified,"Raw name maps ER6V AA to LS14500 with connector. The Saft LS14500 datasheet confirms only model-core cell facts, not a connector assembly.","Exact Saft connector/assembly drawing or OEM pack BOM."
saft:G0621,Saft,ФР-00001213,hold,manufacturer_model_unverified,"No exact current Saft manufacturer-primary datasheet for G 06/2.1 was located in this research wave.","Exact Saft G 06/2.1 primary technical datasheet."
saft:LS14250,Saft,КА-00001791|ФР-00000238|ФР-00000247|ФР-00002188,hold,connector_variant_unverified,"Representative name specifies LS 14250 CNR. Model-core certification is insufficient to assert CNR lead/connector configuration for four records.","Exact Saft LS 14250 CNR drawing and per-record variant identifiers."
saft:LS14250СNA,Saft,КА-00001558|КА-00001559|КА-00001560,hold,pack_configuration_unverified,"Raw name identifies LS 14250 CNA as a 25-unit kit; manufacturer cell data does not verify kit SKU or constituent execution.","Exact Saft CNA package/kit specification and per-record SKU evidence."
saft:LS14500,Saft,ФР-00001825,hold,terminal_variant_unverified,"Raw name contains FLE suffix; the exact Saft base-cell datasheet does not prove this terminal execution.","Exact Saft LS14500 FLE drawing or product specification."
saft:LS14500СNAПРОИЗВОДСТВО,Saft,ФР-00000296,hold,pack_configuration_unverified,"Raw name contains CNA suffix; exact Saft LS14500 base-cell facts cannot prove a CNA configuration.","Exact Saft LS14500 CNA product specification."
saft:LS33600,Saft,ФР-00000212|ФР-00000289,hold,terminal_variant_unverified,"Representative name is LS 33600 B; base-cell model documentation does not prove B terminal execution for either member.","Exact Saft LS33600 B drawing and per-record variant identifiers."
